Name,IGDB_Name,Aggregated_Rating,Age_Ratings_IDs
Minecraft,Minecraft,80.15842955711675,"[33580, 47376, 47377, 47378, 47379, 47380, 47381]"
Final Fantasy XIII,Final Fantasy XIII,81.36363636363636,"[33440, 124871, 79211, 178702, 191279, 178703, 54360]"
Dr. Mario,Dr. Mario,67.88523104783296,"[27721, 27722, 98122]"
Pokemon Pinball,Pokémon Pinball,67.54609253269419,[2101]
Assassin's Creed III,Assassin's Creed III,81.17647058823529,"[188352, 101929, 36147, 105498, 105499, 105500]"
Final Fantasy IX,Final Fantasy IX,84.16666666666667,"[74673, 77093]"
Final Fantasy X-2,Final Fantasy X-2,75.0,"[54354, 10867, 10861]"
Donkey Kong 64,Donkey Kong 64,72.96386337957269,"[68408, 15964, 36222]"
Professor Layton and the Curious Village,Professor Layton and the Curious Village,87.5,"[26944, 26945, 190187, 8783, 8784, 48912]"
Tomb Raider II,Tomb Raider II,80.2645429034972,"[44609, 73089]"
Madden NFL 2004,Madden NFL 2004,69.20003365701551,"[18765, 167725, 18766]"
Dragon Quest VIII: Journey of the Cursed King,Dragon Quest VIII: Journey of the Cursed King,86.58333333333333,"[75240, 34455, 75241, 34454, 190838, 34456]"
Diablo III,Diablo III,83.4,"[117300, 188813, 44655]"
New Super Mario Bros. U,New Super Mario Bros. U,79.88888888888889,"[47136, 50753, 50754, 50755, 189347, 12301]"
Super Mario Land 3: Wario Land,Wario Land: Super Mario Land 3,80.15046676973728,"[116940, 116941, 35507, 98136, 64574]"
The Legend of Zelda: Phantom Hourglass,The Legend of Zelda: Phantom Hourglass,89.25,"[47178, 12974, 112815, 112816, 98872, 36347]"
Donkey Kong Country 2: Diddy's Kong Quest,Donkey Kong Country 2: Diddy's Kong Quest,70.0,"[68368, 28098, 41770]"
Tomodachi Life,Tomodachi Life,69.71428571428571,"[62931, 62932, 62933, 62934, 62935, 48957, 187767]"
Medal of Honor: Rising Sun,Medal of Honor: Rising Sun,40.0,"[283, 33310]"
Kirby's Dream Land,Kirby's Dream Land,78.26663457937612,"[49041, 190140, 151831]"
Fable III,Fable III,78.0,"[109409, 91844, 44868, 91472, 126098, 188660]"
Microsoft Flight Simulator,Microsoft Flight Simulator for Windows 95,,"[70209, 80053]"
Guitar Hero II,Guitar Hero II,91.6,"[122176, 624]"
Resident Evil 5,Resident Evil 5,78.4,"[93888, 33984, 188200, 117354, 168180, 67834]"
Grand Theft Auto: Vice City Stories,Grand Theft Auto: Vice City Stories,73.33333333333333,"[47921, 47922, 47923, 1425, 47925, 47926, 47924]"
FIFA Soccer 11,FIFA Soccer 11,84.33333333333333,"[13266, 78879, 69949, 48735]"
Resident Evil,Resident Evil,79.0,"[106048, 106049, 106050, 33737, 182795, 182796, 167627, 194712, 194711, 93368, 33789, 87224, 106047]"
Tony Hawk's Pro Skater,Tony Hawk's Pro Skater,70.0,"[167746, 3839, 82167]"
Warzone 2100,Warzone 2100,79.95943006249331,[68509]
Spyro the Dragon,Spyro the Dragon,78.54857684214392,"[3810, 31595]"
Link's Crossbow Training,Link's Crossbow Training,60.0,"[48841, 2613]"
Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock,83.66666666666667,"[81762, 923]"
Fallout 3,Fallout 3,89.1,"[187807, 108749, 81176, 167995, 67901, 28127]"
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,,,
Uncharted: Drake's Fortune,Uncharted: Drake's Fortune,89.75,"[131944, 131945, 131946, 131947, 131948, 32829, 1119]"
Madden NFL 06,Madden NFL 06,78.4,[3279]
Diddy Kong Racing,Diddy Kong Racing,50.0,"[678, 28446]"
Monster Hunter Freedom 3,Monster Hunter Portable 3rd,80.4346492413225,[78288]
God of War III,God of War III,96.0,"[184209, 29125, 29126]"
